topic,argument,summary,stance,ibm_pro_deb_qs
abortion,"I simply think it's the lesser evil of two, especially when you look at statistics that show that abortion laws don't stop abortions, they just stop safe abortions. This leads to major risks to both the baby and the mother.",Abortion is a womans right.,1,0.8309969305992126
abortion,Personally i think that people should have the ability to make there own choice.,Abortion is a womans right.,1,0.409972220659256
abortion,I am for a woman's right to chose.,Abortion is a womans right.,1,0.5012828707695007
abortion,"The fetus uses the mother's body as its host. It depends solely on her for survival; no one else can step in and take her place if she is unhappy with the situation. If someone or something is using your body to survive, you should have a say in whether or not it is allowed to continue doing so",Abortion is a womans right.,1,0.8392379283905029
abortion,You should be permitted to decide what medical procedures you will undergo or forego.,Abortion is a womans right.,1,0.7861520051956177
abortion,"Therefore, I believe that it should be the person's choice.",Abortion is a womans right.,1,0.43473467230796814
abortion,WOMEN CAN DO WHATEVER THE HELL THEY'D LIKE TO DO WITH THEIR OWN BODIES.,Abortion is a womans right.,1,0.6290625929832458
abortion,I    sure as hell don't have the right to commandeer someone else's body against their will for nine months to keep myself alive and neither does a fetus.,Abortion is a womans right.,1,0.7900718450546265
abortion,"One human should not use another human as a life support system unless the host is giving ongoing consent. This applies regardless of the age or legal status of either party or the relationship between the parties. If it's in your body and you don't want it there, you have a right to try to find someone who will take it out.",Abortion is a womans right.,1,0.8668365478515625
abortion,I believe that abortion should be legal because the fetus is simply a part of the mother's body and she can have an abortion because it is her human rights.,Abortion is a womans right.,1,0.8223945498466492
abortion,people have the right to decide.,Abortion is a womans right.,1,0.7052820920944214
abortion,it's simply not our choice to decide what people want to do with their bodies,Abortion is a womans right.,1,0.8333961963653564
abortion,"A women should be able to choose what happens with her body, especially concerning abortion and babies.",Abortion is a womans right.,1,0.690062940120697
abortion,never allowing a women to do something specific to her own body also isn't right.,Abortion is a womans right.,1,0.7624644637107849
abortion,Every mother should have the right to do what they want to do and what they think is best.,Abortion is a womans right.,1,0.8580636382102966
abortion,Who are any of you to decide what is right for a pregnant woman?,Abortion is a womans right.,1,0.7088652849197388
abortion,People should be allowed to do whatever they like with there own body.,Abortion is a womans right.,1,0.7680140137672424
abortion,"Making it illegal would  not  save these imaginary people anyway, but it would kill scores of women who decide to get an abortion in a dirty basement instead of a clean hospital.",Abortion is a womans right.,1,0.7478411197662354
abortion,"What matters to me is that abortion is a right women should have or continue to have, even if they became pregnant during consensual sex.",Abortion is a womans right.,1,0.7872531414031982
abortion,"Well really, it's they're choice what they wanna do.",Abortion is a womans right.,1,0.34272077679634094
abortion,don't understand why we feel that we get to dictate what other people can do with their bodies.,Abortion is a womans right.,1,0.5384652614593506
abortion,It is the woman's body.  It is none of your business what another does with their body.,Abortion is a womans right.,1,0.6836294531822205
abortion,"the government should not force a citizen to sacrifice their right to bodily autonomy for the sake of another living thing, whether or not that living thing is a human.",Abortion is a womans right.,1,0.843948245048523
abortion,"If I somehow find myself in a situation where my survival relies on using someone else's body as a host, then I absolutely support their right to terminate that dependency at the expense of my life, especially if I an incapable of thought or choice.",Abortion is a womans right.,1,0.806979775428772
abortion,every mothere should have her own desicon on whether or not they want to go through a pregancy.,Abortion is a womans right.,1,0.528974175453186
abortion,The ability of a woman to have control of her body is critical to civil rights.,Abortion is a womans right.,1,0.8757588267326355
abortion,A woman also has the right to decide what happens to her body.,Abortion is a womans right.,1,0.8611624836921692
abortion,its also the mother's choice,Abortion is a womans right.,1,0.49709373712539673
abortion,A woman can abort for whatever reason she likes,Abortion is a womans right.,1,0.6269456148147583
abortion,Because if a child is going to make her life more awful than what she's already experienced she has the choice to not go through that.,Abortion is a womans right.,1,0.6885218620300293
abortion,"And don't call me a hypocrite, because I still believe the woman has the right to abort under those circumstances.",Abortion is a womans right.,1,0.6749863028526306
abortion,"If someone is using your body as a life support machine, don't you think you should have the right to decide if they continue to do so?",Abortion is a womans right.,1,0.8354325294494629
abortion,"Even if that person is your own offspring, even if that person is a completely self-aware adult, your body should not be used for anything against your ongoing permission.",Abortion is a womans right.,1,0.7322784066200256
abortion,Should women who don't want kids have them anyway out of guilt for people who can't?,Abortion is a womans right.,1,0.5267679691314697
abortion,"Even if you somehow managed make it illegal, guess what, there would still be just as many abortions.  The only difference is that they will get abortions in dirty basements like they did before it was legal, and more mothers would die.",Abortion is a womans right.,1,0.7663964033126831
abortion,I don't believe anyone should be  forced  to have an abortion it's their  choice .,Abortion is a womans right.,1,0.6718391180038452
abortion,"'It's up to you, it's your choice",Abortion is a womans right.,1,0.42858245968818665
abortion,if abortion was not possible at all meaning whether illegal or not just not physically possible then i bet a lot of the women who desperately need them would kill themselves.,Abortion is a womans right.,1,0.7550275921821594
abortion,if abortion was illegal it would still occur. it would be dangerous to the mother as well.,Abortion is a womans right.,1,0.8492462635040283
abortion,"abortion is and always be the woman's choice because it is her body, and not the government's, God's, The Church's or her significant other's.",Abortion is a womans right.,1,0.8127638101577759
abortion,it just means women getting the procedure in other ways that are often dangerous.,Abortion is a womans right.,1,0.5925843119621277
abortion,If a mother wants to get pregnant and then abort it is her right to do so.,Abortion is a womans right.,1,0.8362985253334045
abortion,"abortion is and always was the personal choice of the mother, since it is her body, and rationality dictates that an adult mind ought to have priority when compared to a developing mind.",Abortion is a womans right.,1,0.9145663380622864
abortion,Abortion should be legal as it is the mother's decision to kill said baby,Abortion is a womans right.,1,0.8209308385848999
abortion,shouldn't people be able to have a choice in how to deal with such a life-altering event?,Abortion is a womans right.,1,0.7708203196525574
abortion,"People do need to be careful and do need to be held accountable for their actions, but accidents happen",Abortion is a womans right.,1,0.7338372468948364
